CAMIS,DBA,BORO,STREET,CUISINE DESCRIPTION,INSPECTION DATE,CRITICAL FLAG,SCORE,Latitude,Longitude,year
50046567,PRINCE COFFEE HOUSE,Bronx,ARTHUR AVENUE,Coffee/Tea,2018-07-26,Critical,21.0,40.853645002001,-73.889198445679,2018
50085140,SOLIMAR GRILL,Bronx,BEACH AVENUE,Spanish,2021-08-27,Critical,62.0,40.837114811621,-73.86718114623,2021
50066844,MCDONALD'S,Bronx,EAST TREMONT AVENUE,Hamburgers,2017-07-31,Not Critical,10.0,40.83999137684,-73.877117718293,2017
50009466,GP SMOOTHIES & GIFTSHOP,Bronx,CASTLE HILL AVENUE,"Juice, Smoothies, Fruit Salads",2019-05-10,Critical,12.0,40.831006885608,-73.850812973058,2019
50066372,NEW GREEN DRAGON,Bronx,EAST TREMONT AVENUE,Chinese,2017-10-27,Critical,12.0,40.81871922238,-73.81703088184399,2017
50017460,THE BLACK WHALE,Bronx,CITY ISLAND AVENUE,American,2019-03-13,Critical,14.0,40.846365909573,-73.786174021348,2019
50064670,MS CARIDAD RESTAURANT,Bronx,SOUNDVIEW AVENUE,Latin American,2022-01-19,Not Critical,27.0,40.822603674641,-73.867455914656,2022
50112483,LA YAGUITA RESTAURANT,Bronx,EAST  165 STREET,Latin American,2022-01-04,Critical,99.0,40.829770411874,-73.917546689486,2022
41461629,LOS BALBUENA RESTAURANT,Bronx,RYER AVENUE,Latin American,2019-10-09,Critical,12.0,40.859296388527,-73.898074991117,2019
50111134,YUMMI BAKERY,Bronx,SOUTHERN BOULEVARD,Bakery Products/Desserts,2022-01-31,Not Critical,13.0,40.821956639875005,-73.891711931653,2022
41403916,KN MI DELICIA BAKERY,Bronx,3 AVENUE,Bakery Products/Desserts,2017-07-25,Critical,25.0,40.814851663976995,-73.919913504577,2017
50063608,TORTOISE & HARE,Bronx,BROADWAY,American,2018-05-17,Critical,44.0,40.894386337416,-73.896534370898,2018
41131836,BLUE MOUNTAIN CUISINE RESTAURANT,Bronx,EASTCHESTER RD FL 1,Caribbean,2019-05-02,Not Critical,12.0,40.883050797883,-73.849469766085,2019
41405312,JIMBO'S HAMBURGER PALACE,Bronx,DEVOE AVENUE,Hamburgers,2019-10-24,Critical,11.0,40.83918528037,-73.877921529161,2019
50059864,GIOVANNI RESTAURANT,Bronx,GRAND CONCOURSE,Italian,2018-06-04,Critical,26.0,40.819300109395,-73.926971448884,2018
40560823,LENA RESTAURANT,Bronx,EAST  198 STREET,Latin American,2020-02-11,Not Critical,13.0,40.869889614104,-73.890545243455,2020
41174643,ELSA LA REINA DEL CHICHARRON 3,Bronx,EAST  183 STREET,Latin American,2020-02-13,Not Critical,29.0,40.858661590285,-73.903549226196,2020
50106045,MAJESTIC RESTAURANT,Bronx,EAST  187 STREET,Latin American,2021-07-20,Not Critical,9.0,40.854068214626004,-73.884162254452,2021
40931302,POPEYES,Bronx,GRAND CONCOURSE,Chicken,2022-01-19,Critical,5.0,40.855714341269,-73.901019445694,2022
41255390,27 SPORTS BAR & CAFE,Bronx,WEST MOUNT EDEN AVENUE,Latin American,2020-01-30,Critical,18.0,40.844397949719,-73.914915336046,2020
50008156,FRESCO TORTILLAS,Bronx,WEST  235 STREET,Tex-Mex,2016-11-16,Not Critical,45.0,40.885708031067,-73.91019688107299,2016
41358592,ZERO OTTO NOVE TRATTORIA,Bronx,ARTHUR AVENUE,Italian,2017-08-01,Critical,23.0,40.854533567039,-73.888445066038,2017
41086575,DUNKIN,Bronx,BROADWAY,Donuts,2020-03-09,Critical,7.0,40.877012343505996,-73.906256274618,2020
50037948,ANTOJITOS & NATURAL JUICE BAR,Bronx,CLAY AVENUE,"Juice, Smoothies, Fruit Salads",2017-10-11,Not Critical,12.0,40.837472891079,-73.907692729226,2017
50039503,KENNEDY FRIED CHICKEN,Bronx,HUNTS POINT AVENUE,Chicken,2019-10-02,Critical,33.0,40.818726455203,-73.88923151864,2019
50062979,EL CARBONCITO RESTAURANT,Bronx,WATSON AVENUE,Mexican,2019-10-31,Critical,19.0,40.826052090735004,-73.878296209043,2019
50086788,CURRY & KEBAB,Bronx,BAINBRIDGE AVENUE,Bangladeshi,2019-04-11,Not Critical,35.0,40.874017407436,-73.87930009021,2019
41654352,COOLER RUNNINGS JAMAICAN RESTAURANT,Bronx,NEREID AVENUE,Caribbean,2019-01-31,Critical,12.0,40.898304301170995,-73.850292379808,2019
50090899,HAPPY GARDEN,Bronx,EAST  165 STREET,Chinese,2019-12-06,Not Critical,12.0,40.830188372231,-73.91861216512,2019
